ISLAND,FID,Delta,TimeYrs,Cov1_Area,Cov2_Latitude,Cov3_Erad_Number,Cov4_Rodent_pres,Cov5_Possum_pres,Cov6_Mustelid_pres,Cov7_Erad_method
Battleship Rock,7939,0,117,2.274764703,35.208762,1,1,0,0,toxicant
David Rocks - A,6533,0,117,0.361010656,36.698274,1,1,0,0,toxicant
David Rocks - B,6523,0,117,0.179250789,36.7012,1,1,0,0,toxicant
David Rocks - C,6530,0,117,0.187836472,36.699073,1,1,0,0,toxicant
Duffer's Reef,5335,0,117,0.69259868,40.9546,1,1,0,0,toxicant and hunt/trap
East Atoll,8011,0,117,0.723526729,35.202142,1,1,0,0,toxicant
Ernest,1507,0,117,94.7919779,46.958764,1,0,0,0,other
Flat Top Rock,8019,0,117,1.141604654,35.201111,1,1,0,0,toxicant
Fortyseven,7831,0,117,0.616158793,35.241948,1,1,1,0,toxicant
Grey Group,7040,0,117,2.062236352,36.184111,1,1,0,0,toxicant
Hat,7888,0,117,0.108219497,35.217178,1,1,0,0,toxicant
King Billy,4715,0,117,0.754410225,43.635089,0,1,0,1,none
Koi,6333,0,117,0.343179044,36.826699,2,1,0,0,toxicant and hunt/trap
Kuiamokimoki,7847,0,117,0.665014573,35.23043,1,1,0,0,toxicant
Little Mahuki,6969,0,117,2.015980799,36.22875,1,1,0,0,toxicant
Little Rat,7992,0,117,0.681125529,35.20453,1,1,0,0,toxicant
Mahenotiti,7855,0,117,1.036734903,35.2275,1,1,0,0,toxicant
Mauhaka Rocks,6088,0,117,1.052464919,37.218323,1,1,0,0,toxicant
Motiti,7696,0,117,0.368562903,35.353211,1,1,0,0,toxicant
Motukaha,6362,0,117,0.731938727,36.795075,1,1,0,0,toxicant and hunt/trap
Motukaraka,7685,0,117,1.752128946,35.38783,1,1,0,0,other
Motungara (Motungarara),5456,0,117,2.017777228,40.886579,2,1,0,0,toxicant
Motungarara (Cliff Rock),7998,0,117,1.328759494,35.202991,1,1,0,0,toxicant
Motuoi,7886,0,117,2.834925768,35.218956,1,1,0,0,toxicant
Moturako,7054,0,117,0.857846678,36.179716,1,1,0,0,toxicant
Motutara,7915,0,117,0.420735123,35.2143,1,1,0,0,toxicant
Motuterakihi,8060,0,117,0.506173365,35.1851,1,1,0,0,toxicant
Mouse,8006,0,117,1.252923529,35.203169,1,1,0,0,toxicant
NE Crater Rim,7999,0,117,0.674219735,35.203333,1,1,0,0,toxicant
Ngatokaparangi 1,7871,0,117,0.581264966,35.222472,1,1,0,0,toxicant
Ngatokaparangi 2,7870,0,117,0.240444865,35.222483,1,1,0,0,toxicant
Ngatokaparangi 3,7869,0,117,0.448413116,35.223503,1,1,0,0,toxicant
Ngawhiti,5552,0,117,1.656323916,40.804528,1,0,0,0,other
NW Crater Rim,8008,0,117,0.574655212,35.202778,1,1,0,0,toxicant
Opakau,7006,0,117,3.070406501,36.20198,1,1,0,0,toxicant
Outer Little Rat,8026,0,117,0.50873501,35.200178,1,1,0,0,toxicant
Outer Stuck Anchor Rock,7926,0,117,0.271181078,35.211767,1,1,0,0,toxicant
Oyster Island,477,0,117,0.336485438,36.142264,1,1,0,0,toxicant
Pakatahi,7845,0,117,0.792405797,35.231111,1,1,0,0,toxicant
Papakohatu (Crusoe),6328,0,117,2.075482204,36.8125,1,1,0,0,toxicant and hunt/trap
Papakuri,6980,0,117,0.435332504,36.220414,1,1,0,0,toxicant
Phillip,7499,0,117,0.850864917,35.615927,2,0,0,0,other
Phil's Hat,7951,0,117,0.798138862,35.206863,1,1,0,0,toxicant
Rabbit,7427,0,117,0.988031531,35.789026,1,1,0,0,toxicant
Rangiatea,7889,0,117,1.823885867,35.218031,1,1,0,0,toxicant
Rat,8005,0,117,1.180087189,35.203169,1,1,0,0,toxicant
Rotoroa Stacks,377,0,117,0.191977028,36.822117,1,1,0,0,other
Round,7854,0,117,2.21342768,35.227991,1,1,0,0,toxicant
SE Crater Rim,7964,0,117,1.903936824,35.205,1,1,0,0,toxicant
Stuck Anchor Rock,7933,0,117,0.233198569,35.210158,1,1,0,0,toxicant
SW Crater Rim,552,0,117,0.139478923,35.205678,1,1,0,0,toxicant
Taieri,3093,0,117,5.072209308,46.057625,1,0,0,0,toxicant
Taranaki,8001,0,117,0.221263215,35.203763,1,1,0,0,toxicant
Te Ao,7857,0,117,1.184838004,35.227264,1,1,0,0,toxicant
Tern Rock,8032,0,117,1.424156794,35.199281,1,1,0,0,toxicant
Unnamed Cape Wiwiki A (Snail Rock),8116,0,117,0.535143256,35.153885,3,1,1,0,toxicant
Unnamed Cape Wiwiki B (Gorse Island),8126,0,117,0.208033653,35.15272,2,1,1,0,toxicant
Waimate,6403,0,117,69.50055234,36.762622,1,1,0,1,hunt/trap
Wainui,8036,0,117,1.864943359,35.198928,1,1,0,0,toxicant
West Atoll,8015,0,117,1.575927037,35.202153,1,1,0,0,toxicant
West Tern Rock,8029,0,117,0.307649102,35.199467,1,1,0,0,toxicant
Whanganui,387,0,117,284.4431181,36.785833,1,0,1,0,hunt/trap
Wood,7124,0,117,1.461810825,36.15243,1,1,0,0,toxicant
Wood Stack A,7123,0,117,0.322710543,36.151974,1,1,0,0,toxicant
